property_id,property_name,reference_rate_night,rating,n_reviews,city,country,property_type,url_property
1221751561372481946,Habitación en Barcelona,29.0,4.72,18,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1221751561372481946?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1973735631&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730069714_P3Ok3glXQquzbwVj&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
1218645303173234166,Habitación en Barcelona,46.0,4.93,15,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1218645303173234166?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1971156620&search_mode=regular_search&check_in=2025-01-07&check_out=2025-01-12&source_impression_id=p3_1730069714_P3vJrjXoR9avNuZC&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
27127886,Habitación en Barcelona,36.0,4.92,284,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/27127886?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1198245423&search_mode=regular_search&check_in=2025-01-14&check_out=2025-01-19&source_impression_id=p3_1730069714_P34WxzQ3SreS3ccw&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
41822352,Habitación en Barcelona,46.0,4.91,23,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/41822352?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1877977358&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730069714_P3MlIjrg-fjb34oE&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
6833040,Habitación en Barcelona,37.0,4.52,292,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/6833040?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=680690576&search_mode=regular_search&check_in=2024-12-11&check_out=2024-12-16&source_impression_id=p3_1730069714_P38Bm2nl4cFf2jqT&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
27381858,Habitación en Barcelona,43.0,4.56,209,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/27381858?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=609143690&search_mode=regular_search&check_in=2024-12-14&check_out=2024-12-19&source_impression_id=p3_1730069714_P3sEMrHoaj-K09dH&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
15593934,Habitación en Barcelona,41.0,4.81,502,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/15593934?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1756964401&search_mode=regular_search&check_in=2025-01-10&check_out=2025-01-15&source_impression_id=p3_1730069714_P3TKjxHULO4toHu2&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
982574005765784708,Apartamento en Barcelona,66.0,5.0,7,Barcelona,España,Apartamento,https://www.airbnb.com.pe/rooms/982574005765784708?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-23&check_out=2024-11-28&source_impression_id=p3_1730069714_P3ON7AqGyje6NW_3&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
1018087113579414014,Habitación en Badalona,32.0,4.68,37,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/1018087113579414014?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1774183212&search_mode=regular_search&check_in=2024-11-23&check_out=2024-11-28&source_impression_id=p3_1730069714_P3X0TWWxuu2LBU8T&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
563396040001104055,Habitación de hotel compartida en Barcelona,31.0,4.37,121,Barcelona,España,Habitación,https://www.airbnb.com.pe/rooms/563396040001104055?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730069714_P3MsCilIU1UmyoM4&previous_page_section_name=1000&federated_search_id=eb7c5775-ff72-466e-9e15-7617f8b1b6b5&currency=EUR
